token_id,chain_id,contract_address,source,name,symbol,is_active,last_updated,search_id,decimals
1-0x081131434f93063751813c619ecca9c4dc7862a3,1,0x081131434f93063751813c619ecca9c4dc7862a3,coinmarketcap,Dalarnia,DAR,true,2024-10-22 02:15:00.105077+00,11374,6
1-0x08389495d7456e1951ddf7c3a1314a4bfb646d8b,1,0x08389495d7456e1951ddf7c3a1314a4bfb646d8b,coinmarketcap,Crypterium,CRPT,true,2024-10-22 02:15:00.105077+00,2447,18
1-0x089453742936dd35134383aee9d78bee63a69b01,1,0x089453742936dd35134383aee9d78bee63a69b01,coinmarketcap,GOLD,GOLD,true,2024-10-22 02:15:00.105077+00,28173,18
1-0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,1,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,coinmarketcap,Dentacoin,Dentacoin,true,2024-10-22 02:13:00.086662+00,1876,0
1-0x08d967bb0134f2d07f7cfb6e246680c53927dd30,1,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,coinmarketcap,MATH Token,MATH,true,2024-10-22 02:08:00.070009+00,5616,18
1-0x090185f2135308bad17527004364ebcc2d37e5f6,1,0x090185f2135308bad17527004364ebcc2d37e5f6,coinmarketcap,Spell Token,SPELL,true,2024-10-22 02:11:00.05839+00,11289,18
1-0x0954906da0bf32d5479e25f46056d22f08464cab,1,0x0954906da0bf32d5479e25f46056d22f08464cab,coinmarketcap,Index,INDEX,true,2024-10-22 02:18:00.077743+00,7336,18
1-0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,1,0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,coinmarketcap,Unblocked Ledger Token,ULT,true,2024-10-22 02:17:00.090605+00,5330,18
1-0x09a3ecafa817268f77be1283176b946c4ff2e608,1,0x09a3ecafa817268f77be1283176b946c4ff2e608,coinmarketcap,Mirror Protocol,MIR,true,2024-10-22 02:13:00.086662+00,7857,18
1-0x09ccd2da5dcdd0510268d4979e792381337138b8,1,0x09ccd2da5dcdd0510268d4979e792381337138b8,coinmarketcap,Bodhi Token,NBOT,true,2024-10-22 02:12:00.06871+00,4047,18
1-0x0a2d9370cf74da3fd3df5d764e394ca8205c50b6,1,0x0a2d9370cf74da3fd3df5d764e394ca8205c50b6,coinmarketcap,SAVE ENVIRONMENT TOKEN,SET,true,2024-10-22 02:12:00.06871+00,3764,18
1-0x0a661f6ad63a1500d714ed1eeedb64ec493a54a8,1,0x0a661f6ad63a1500d714ed1eeedb64ec493a54a8,coinmarketcap,Zedxion,USDZ,true,2024-10-22 02:19:00.06987+00,20475,9
1-0x0a913bead80f321e7ac35285ee10d9d922659cb7,1,0x0a913bead80f321e7ac35285ee10d9d922659cb7,coinmarketcap,DOS Network Token,DOS,true,2024-10-22 02:11:00.05839+00,3809,18
1-0x0aacfbec6a24756c20d41914f2caba817c0d8521,1,0x0aacfbec6a24756c20d41914f2caba817c0d8521,coinmarketcap,YAM,YAM,true,2024-10-22 02:11:00.05839+00,7131,18
1-0x0abdace70d3790235af448c88547603b945604ea,1,0x0abdace70d3790235af448c88547603b945604ea,coinmarketcap,district0x Network Token,DNT,true,2024-10-22 02:10:00.076595+00,1856,18
1-0x0ae055097c6d159879521c384f1d2123d1f195e6,1,0x0ae055097c6d159879521c384f1d2123d1f195e6,coinmarketcap,xDai,STAKE,true,2024-10-22 02:17:00.090605+00,5601,18
1-0x0aee8703d34dd9ae107386d3eff22ae75dd616d1,1,0x0aee8703d34dd9ae107386d3eff22ae75dd616d1,coinmarketcap,Tranche Finance,SLICE,true,2024-10-22 02:16:00.07793+00,8637,18
1-0x0af55d5ff28a3269d69b98680fd034f115dd53ac,1,0x0af55d5ff28a3269d69b98680fd034f115dd53ac,coinmarketcap,BankSocial,BSL,true,2024-10-22 02:16:00.07793+00,10102,8
1-0x0affa06e7fbe5bc9a764c979aa66e8256a631f02,1,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02,coinmarketcap,Polybius Token,PLBT,true,2024-10-22 02:15:00.105077+00,1784,6
1-0x0b0a8c7c34374c1d0c649917a97eee6c6c929b1b,1,0x0b0a8c7c34374c1d0c649917a97eee6c6c929b1b,coinmarketcap,Shiba V Pepe,SHEPE,true,2024-10-22 02:10:00.076595+00,27963,9
1-0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,1,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,coinmarketcap,Impossible Finance IDIA,IDIA,true,2024-10-22 02:10:00.076595+00,10933,18
1-0x0b38210ea11411557c13457d4da7dc6ea731b88a,1,0x0b38210ea11411557c13457d4da7dc6ea731b88a,coinmarketcap,API3,API3,true,2024-10-22 02:19:00.06987+00,7737,18
1-0x0b498ff89709d3838a063f1dfa463091f9801c2b,1,0x0b498ff89709d3838a063f1dfa463091f9801c2b,coinmarketcap,Bitcoin 2x Flexible Leverage Index,BTC2x-FLI,true,2024-10-22 02:11:00.05839+00,16137,18
1-0x0b4bdc478791897274652dc15ef5c135cae61e60,1,0x0b4bdc478791897274652dc15ef5c135cae61e60,coinmarketcap,DAEX Token,DAX,true,2024-10-22 02:15:00.105077+00,2696,18
1-0x0b6f3ea2814f3fff804ba5d5c237aebbc364fba9,1,0x0b6f3ea2814f3fff804ba5d5c237aebbc364fba9,coinmarketcap,Unagi Token (UNA),UNA,true,2024-10-22 02:09:00.062665+00,29310,18
1-0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,1,0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,coinmarketcap,SwftCoin,SWFTC,true,2024-10-22 02:19:00.06987+00,2341,8
1-0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,1,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,coinmarketcap,yearn.finance,YFI,true,2024-10-22 02:12:00.06871+00,5864,18
